3;835000
4;19000
5;20000
6;22000
7;28000
8;27000
9;28000
10;37000
11;34000
12;37000
13;42000
14;41000
15;43000
16;43000
17;48000
18;49000
19;52000
20;52000
21;56000
22;55000
23;61000
24;62000
25;63000
26;68000
27;69000
28;69000
29;71000
30;76000
31;78000
32;79000
33;79000
34;95000
35;86000
36;88000
37;90000
38;93000
39;97000
40;100000
41;100000
42;102000
43;105000
44;104000
45;110000
46;113000
47;112000
48;115000
49;117000
50;119000
51;120000
52;123000
53;127000
54;127000
55;130000
56;132000
57;139000
58;138000
59;141000
60;141000
61;145000
62;158000
63;149000
64;133000
65;135000
66;131000
67;136000
68;135000
69;138000
70;139000
71;147000
72;140000
73;146000
74;149000
75;223000
76;162000
77;157000
78;160000
79;221000
80;219000
81;202000
82;179000
83;147000
84;141000
85;149000
86;137000
87;153000
88;157000
89;161000
90;162000
91;172000
92;151000
93;161000
94;172000
95;167000
96;169000
97;174000
98;159000
99;137000
100;179000
