3;571;9
4;776;14
5;979;19
6;1174;24
7;1359;29
8;1533;34
9;1696;38
10;1850;42
11;1997;46
12;2137;49
13;2272;52
14;2402;55
15;2528;57
16;2652;59
17;2773;62
18;2891;64
19;3008;66
20;3122;68
21;3236;70
22;3348;72
23;3459;73
24;3569;75
25;3678;77
26;3786;78
27;3893;80
28;3999;82
29;4105;83
30;4211;85
31;4315;86
32;4419;88
33;4523;90
34;4626;91
35;4729;93
36;4831;94
37;4933;95
38;5035;97
39;5136;98
40;5237;100
41;5337;101
42;5438;103
43;5538;104
44;5637;106
45;5737;107
46;5836;108
47;5935;110
48;6034;111
49;6132;112
50;6230;114
